hcp_id,hcp_name,territory_id,specialty,prescriber_tier,monthly_rx_volume,hospital_affiliation,digital_engagement,total_calls_received,unique_reps_visited,months_contacted,avg_monthly_calls,conversion_rate,coverage_status,estimated_monthly_revenue_potential
H0495,Dr. Sims,T015,Cardiologist,A,103,Private Practice,Medium,36,1,20,1.5,0.2222222222222222,Undercovered,43260.0
H0082,Dr. Marshall,T029,Neurologist,A,103,Private Practice,High,35,1,18,1.4583333333333333,0.17142857142857143,Undercovered,43260.0
H0361,Dr. Fernandez,T018,General Practitioner,A,103,Private Practice,Medium,33,1,18,1.375,0.3939393939393939,Undercovered,43260.0
H0281,Dr. Wall,T044,Oncologist,A,102,Community,Medium,33,1,19,1.375,0.21212121212121213,Undercovered,42840.0
H0479,Dr. Garcia,T007,Endocrinologist,A,100,Academic,Medium,0,0,0,0.0,0.0,Critical Gap,42000.0
H0030,Dr. Estrada,T027,Pulmonologist,A,100,Community,High,29,1,16,1.2083333333333333,0.3793103448275862,Undercovered,42000.0
H0370,Dr. Valencia,T024,Pulmonologist,A,98,Private Practice,Low,30,1,18,1.25,0.3333333333333333,Undercovered,41160.0
H0195,Dr. David,T013,Immunologist,A,98,Community,Medium,163,4,24,6.791666666666667,0.26380368098159507,Adequately Covered,41160.0
H0248,Dr. Allen,T047,Internist,A,97,Community,High,60,2,23,2.5,0.2,Adequately Covered,40740.0
H0016,Dr. Meyer,T017,Cardiologist,A,96,Private Practice,Low,49,1,21,2.0416666666666665,0.2857142857142857,Adequately Covered,40320.0
H0467,Dr. Mcintyre,T031,Oncologist,A,96,Private Practice,High,35,1,19,1.4583333333333333,0.2571428571428571,Undercovered,40320.0
H0476,Dr. Rivera,T043,General Practitioner,A,95,Community,Medium,0,0,0,0.0,0.0,Critical Gap,39900.0
H0383,Dr. Olsen,T035,Internist,A,94,Academic,Medium,36,1,17,1.5,0.2222222222222222,Undercovered,39480.0
H0447,Dr. Smith,T034,Immunologist,A,94,Community,Low,0,0,0,0.0,0.0,Critical Gap,39480.0
H0497,Dr. Freeman,T001,General Practitioner,A,93,Private Practice,Low,51,2,23,2.125,0.27450980392156865,Adequately Covered,39060.0
H0354,Dr. Holloway,T049,Pulmonologist,A,92,Private Practice,Medium,49,2,19,2.0416666666666665,0.14285714285714285,Adequately Covered,38640.0
H0071,Dr. Cruz,T028,Immunologist,A,90,Community,High,223,8,24,9.291666666666666,0.30493273542600896,Adequately Covered,37800.0
H0333,Dr. Norris,T003,Neurologist,A,90,Community,High,99,3,23,4.125,0.24242424242424243,Adequately Covered,37800.0
H0246,Dr. Black,T002,Oncologist,A,90,Academic,Low,0,0,0,0.0,0.0,Critical Gap,37800.0
H0429,Dr. Cantu,T049,Neurologist,A,90,Private Practice,High,59,2,22,2.4583333333333335,0.22033898305084745,Adequately Covered,37800.0
H0124,Dr. Shah,T043,Oncologist,A,89,Community,Medium,0,0,0,0.0,0.0,Critical Gap,37380.0
H0033,Dr. Spencer,T035,Neurologist,A,89,Academic,Medium,29,1,16,1.2083333333333333,0.27586206896551724,Undercovered,37380.0
H0216,Dr. Snow,T004,Endocrinologist,A,89,Group Practice,Low,0,0,0,0.0,0.0,Critical Gap,37380.0
H0052,Dr. Fitzgerald,T016,Internist,A,88,Private Practice,Low,129,3,24,5.375,0.24031007751937986,Adequately Covered,36960.0
H0144,Dr. Ramsey,T014,Cardiologist,A,87,Private Practice,Medium,18,1,13,0.75,0.2222222222222222,Critical Gap,36540.0
H0387,Dr. Morris,T030,Immunologist,A,87,Community,Low,0,0,0,0.0,0.0,Critical Gap,36540.0
H0168,Dr. Crane,T014,Immunologist,A,87,Private Practice,Medium,14,1,10,0.5833333333333334,0.14285714285714285,Critical Gap,36540.0
H0331,Dr. Moore,T038,Immunologist,A,87,Group Practice,Medium,55,2,23,2.2916666666666665,0.23636363636363636,Adequately Covered,36540.0
H0247,Dr. Lee,T034,Internist,A,86,Private Practice,High,0,0,0,0.0,0.0,Critical Gap,36120.0
H0482,Dr. Thomas,T030,Cardiologist,A,85,Private Practice,Medium,0,0,0,0.0,0.0,Critical Gap,35700.0
H0339,Dr. Jones,T019,Pulmonologist,A,84,Group Practice,Low,78,2,23,3.25,0.20512820512820512,Adequately Covered,35280.0
H0125,Dr. Smith,T042,Internist,A,82,Academic,High,0,0,0,0.0,0.0,Critical Gap,34440.0
H0146,Dr. Calhoun,T020,Internist,A,81,Private Practice,Medium,108,3,24,4.5,0.2777777777777778,Adequately Covered,34020.0
H0379,Dr. Ramos,T039,Cardiologist,A,80,Private Practice,Medium,70,2,24,2.9166666666666665,0.2,Adequately Covered,33600.0
H0135,Dr. Navarro,T009,Pulmonologist,A,80,Private Practice,Medium,21,1,14,0.875,0.2857142857142857,Critical Gap,33600.0
H0357,Dr. Harrison,T031,Internist,A,79,Academic,High,34,1,20,1.4166666666666667,0.17647058823529413,Undercovered,33180.0
H0470,Dr. Sparks,T023,Immunologist,A,79,Community,Medium,32,1,17,1.3333333333333333,0.21875,Undercovered,33180.0
H0326,Dr. Garrett,T024,Neurologist,A,79,Community,Medium,41,1,21,1.7083333333333333,0.34146341463414637,Undercovered,33180.0
H0104,Dr. Strickland,T014,General Practitioner,A,79,Private Practice,Low,12,1,10,0.5,0.3333333333333333,Critical Gap,33180.0
H0268,Dr. Hall,T034,Neurologist,A,79,Private Practice,Medium,0,0,0,0.0,0.0,Critical Gap,33180.0
H0159,Dr. Rogers,T014,Internist,A,79,Community,Medium,18,1,12,0.75,0.16666666666666666,Critical Gap,33180.0
H0491,Dr. Murphy,T003,Cardiologist,A,78,Community,Medium,94,3,24,3.9166666666666665,0.2127659574468085,Adequately Covered,32760.0
H0072,Dr. Ross,T030,Pulmonologist,A,78,Group Practice,Medium,0,0,0,0.0,0.0,Critical Gap,32760.0
H0051,Dr. Moyer,T003,Endocrinologist,A,78,Community,Medium,122,3,24,5.083333333333333,0.27049180327868855,Adequately Covered,32760.0
H0271,Dr. Newton,T003,Immunologist,A,78,Community,High,97,3,24,4.041666666666667,0.1958762886597938,Adequately Covered,32760.0
H0430,Dr. Carter,T049,Internist,A,77,Private Practice,Low,57,2,23,2.375,0.3508771929824561,Adequately Covered,32340.0
H0024,Dr. Mccall,T028,Neurologist,A,76,Academic,Medium,231,8,24,9.625,0.2597402597402597,Adequately Covered,31920.0
H0167,Dr. Williams,T009,Internist,A,71,Private Practice,High,24,1,15,1.0,0.16666666666666666,Undercovered,29820.0
H0187,Dr. Strickland,T021,Pulmonologist,A,69,Private Practice,High,43,2,22,1.7916666666666667,0.23255813953488372,Undercovered,28980.0
H0438,Dr. Greene,T038,General Practitioner,A,67,Private Practice,Low,64,2,24,2.6666666666666665,0.25,Adequately Covered,28140.0
H0269,Dr. Griffith,T016,Neurologist,A,67,Community,Low,126,3,24,5.25,0.1984126984126984,Adequately Covered,28140.0
H0156,Dr. Green,T040,Pulmonologist,A,66,Academic,Low,0,0,0,0.0,0.0,Critical Gap,27720.0
H0198,Dr. Rivas,T018,Endocrinologist,A,66,Private Practice,Low,48,1,23,2.0,0.22916666666666666,Adequately Covered,27720.0
H0011,Dr. Wilson,T035,Cardiologist,A,65,Community,Medium,42,1,22,1.75,0.21428571428571427,Undercovered,27300.0
H0325,Dr. Farmer,T029,Internist,A,64,Community,Medium,47,1,21,1.9583333333333333,0.19148936170212766,Undercovered,26880.0
H0454,Dr. Washington,T008,Pulmonologist,A,64,Community,High,133,4,24,5.541666666666667,0.24812030075187969,Adequately Covered,26880.0
H0043,Dr. Clark,T050,Internist,A,63,Academic,Medium,67,2,23,2.7916666666666665,0.29850746268656714,Adequately Covered,26460.0
H0134,Dr. Medina,T002,Internist,A,63,Community,Low,0,0,0,0.0,0.0,Critical Gap,26460.0
H0309,Dr. Miller,T019,Immunologist,A,62,Group Practice,Medium,88,2,24,3.6666666666666665,0.2159090909090909,Adequately Covered,26040.0
H0253,Dr. Joseph,T034,Neurologist,A,61,Private Practice,Medium,0,0,0,0.0,0.0,Critical Gap,25620.0
H0426,Dr. Valentine,T030,Pulmonologist,A,61,Private Practice,Medium,0,0,0,0.0,0.0,Critical Gap,25620.0
H0330,Dr. Arnold,T009,Internist,A,61,Community,High,31,1,17,1.2916666666666667,0.25806451612903225,Undercovered,25620.0
H0235,Dr. Barnett,T045,Neurologist,A,60,Group Practice,High,124,3,24,5.166666666666667,0.25,Adequately Covered,25200.0
H0019,Dr. Bentley,T028,Pulmonologist,A,60,Private Practice,Medium,255,8,24,10.625,0.28627450980392155,Adequately Covered,25200.0
H0428,Dr. Moore,T045,Endocrinologist,A,60,Academic,High,121,3,24,5.041666666666667,0.15702479338842976,Adequately Covered,25200.0
H0274,Dr. Lee,T039,Immunologist,A,59,Private Practice,Medium,75,2,23,3.125,0.29333333333333333,Adequately Covered,24780.0
H0423,Dr. Walker,T003,Endocrinologist,A,58,Private Practice,Medium,99,3,24,4.125,0.1717171717171717,Adequately Covered,24360.0
H0174,Dr. Wright,T027,General Practitioner,A,58,Community,High,40,1,21,1.6666666666666667,0.325,Undercovered,24360.0
H0300,Dr. Hensley,T006,Neurologist,A,56,Private Practice,Low,34,1,20,1.4166666666666667,0.2647058823529412,Undercovered,23520.0
H0456,Dr. Hines,T048,Cardiologist,A,56,Community,Medium,24,1,14,1.0,0.3333333333333333,Undercovered,23520.0
H0069,Dr. Johnston,T047,Neurologist,A,55,Private Practice,Low,56,2,22,2.3333333333333335,0.3392857142857143,Adequately Covered,23100.0
H0006,Dr. Carlson,T020,Neurologist,A,54,Group Practice,High,108,3,24,4.5,0.2962962962962963,Adequately Covered,22680.0
H0101,Dr. Walton,T044,Cardiologist,A,53,Community,Low,40,1,20,1.6666666666666667,0.3,Undercovered,22260.0
H0029,Dr. Hunter,T047,Endocrinologist,A,51,Community,Low,57,2,22,2.375,0.2982456140350877,Adequately Covered,21420.0
H0458,Dr. Cantu,T030,Endocrinologist,A,51,Private Practice,Low,0,0,0,0.0,0.0,Critical Gap,21420.0
H0150,Dr. Vargas,T048,Neurologist,A,51,Group Practice,Medium,24,1,14,1.0,0.2916666666666667,Undercovered,21420.0
H0178,Dr. Wells,T001,Immunologist,A,50,Academic,Low,54,2,23,2.25,0.2777777777777778,Adequately Covered,21000.0
H0256,Dr. Phillips,T049,Immunologist,A,50,Private Practice,Medium,49,2,22,2.0416666666666665,0.24489795918367346,Adequately Covered,21000.0
H0214,Dr. Hamilton,T038,Immunologist,A,48,Academic,Medium,70,2,21,2.9166666666666665,0.2714285714285714,Adequately Covered,20160.0
H0485,Dr. Jones,T006,Internist,A,47,Community,High,48,1,23,2.0,0.16666666666666666,Adequately Covered,19740.0
H0377,Dr. Thompson,T013,Endocrinologist,A,47,Group Practice,Low,158,4,24,6.583333333333333,0.22151898734177214,Adequately Covered,19740.0
H0133,Dr. Houston,T010,Internist,A,47,Community,Medium,98,2,23,4.083333333333333,0.1326530612244898,Adequately Covered,19740.0
H0308,Dr. Avery,T021,Neurologist,A,45,Community,Low,33,2,18,1.375,0.24242424242424243,Undercovered,18900.0
H0453,Dr. Griffin,T048,General Practitioner,A,45,Private Practice,High,25,1,18,1.0416666666666667,0.36,Undercovered,18900.0
H0120,Dr. Brown,T012,Neurologist,A,45,Private Practice,High,90,2,23,3.75,0.2111111111111111,Adequately Covered,18900.0
H0113,Dr. Hernandez,T012,Cardiologist,A,42,Academic,Low,86,2,23,3.5833333333333335,0.23255813953488372,Adequately Covered,17640.0
H0022,Dr. Reynolds,T048,Cardiologist,A,42,Private Practice,High,27,1,18,1.125,0.18518518518518517,Undercovered,17640.0
H0155,Dr. White,T046,Immunologist,A,42,Private Practice,High,39,1,22,1.625,0.38461538461538464,Undercovered,17640.0
H0449,Dr. Monroe,T004,Pulmonologist,A,40,Private Practice,Low,0,0,0,0.0,0.0,Critical Gap,16800.0
H0484,Dr. Booker,T023,Pulmonologist,B,44,Community,High,26,1,15,1.0833333333333333,0.038461538461538464,Adequately Covered,11088.0
H0234,Dr. Hudson,T026,Internist,B,44,Private Practice,Medium,49,2,22,2.0416666666666665,0.1836734693877551,Adequately Covered,11088.0
H0496,Dr. Clay,T022,Oncologist,B,44,Private Practice,Medium,0,0,0,0.0,0.0,Undercovered,11088.0
H0386,Dr. Ortiz,T033,General Practitioner,B,44,Private Practice,Low,60,2,23,2.5,0.11666666666666667,Adequately Covered,11088.0
H0257,Dr. Sullivan,T048,General Practitioner,B,44,Academic,High,9,1,8,0.375,0.1111111111111111,Undercovered,11088.0
H0498,Dr. Weaver,T004,Immunologist,B,44,Group Practice,High,0,0,0,0.0,0.0,Undercovered,11088.0
H0359,Dr. Powell,T005,Pulmonologist,B,44,Community,High,0,0,0,0.0,0.0,Undercovered,11088.0
H0045,Dr. Lawson,T006,Oncologist,B,43,Community,Medium,24,1,15,1.0,0.20833333333333334,Adequately Covered,10836.0
H0212,Dr. Fisher,T029,Pulmonologist,B,43,Academic,Medium,20,1,16,0.8333333333333334,0.15,Adequately Covered,10836.0
H0263,Dr. Barajas,T002,Endocrinologist,B,43,Private Practice,Low,0,0,0,0.0,0.0,Undercovered,10836.0
H0385,Dr. Harrison,T034,Oncologist,B,43,Community,Medium,0,0,0,0.0,0.0,Undercovered,10836.0
H0233,Dr. Christensen,T009,General Practitioner,B,42,Private Practice,High,18,1,13,0.75,0.3333333333333333,Adequately Covered,10584.0
H0236,Dr. Rogers,T036,Neurologist,B,42,Community,High,105,3,23,4.375,0.17142857142857143,Adequately Covered,10584.0
H0106,Dr. Allen,T020,Oncologist,B,42,Community,Low,67,3,24,2.7916666666666665,0.08955223880597014,Adequately Covered,10584.0
H0047,Dr. Ramos,T044,Internist,B,42,Private Practice,Low,16,1,13,0.6666666666666666,0.125,Adequately Covered,10584.0
H0079,Dr. Robinson,T005,Pulmonologist,B,42,Community,Low,0,0,0,0.0,0.0,Undercovered,10584.0
H0147,Dr. Hooper,T027,Oncologist,B,42,Private Practice,Low,28,1,17,1.1666666666666667,0.10714285714285714,Adequately Covered,10584.0
H0219,Dr. Thompson,T034,Internist,B,42,Private Practice,Low,0,0,0,0.0,0.0,Undercovered,10584.0
H0338,Dr. Heath,T009,Pulmonologist,B,42,Community,Low,10,1,9,0.4166666666666667,0.0,Undercovered,10584.0
H0347,Dr. Walker,T028,Endocrinologist,B,42,Group Practice,Medium,158,8,24,6.583333333333333,0.1518987341772152,Adequately Covered,10584.0
H0191,Dr. Hickman,T008,Immunologist,B,42,Academic,High,71,4,22,2.9583333333333335,0.1267605633802817,Adequately Covered,10584.0
H0375,Dr. Johnston,T033,Pulmonologist,B,41,Private Practice,Low,72,2,24,3.0,0.125,Adequately Covered,10332.0
H0080,Dr. Brock,T050,Oncologist,B,41,Community,Low,37,2,18,1.5416666666666667,0.08108108108108109,Adequately Covered,10332.0
H0102,Dr. Larsen,T048,Cardiologist,B,41,Private Practice,Low,14,1,8,0.5833333333333334,0.2857142857142857,Adequately Covered,10332.0
H0259,Dr. Beck,T044,Oncologist,B,41,Academic,Low,27,1,19,1.125,0.18518518518518517,Adequately Covered,10332.0
H0424,Dr. Skinner,T028,Internist,B,40,Community,Low,130,8,24,5.416666666666667,0.14615384615384616,Adequately Covered,10080.0
H0238,Dr. Nguyen,T031,Internist,B,40,Group Practice,Medium,25,1,15,1.0416666666666667,0.2,Adequately Covered,10080.0
H0090,Dr. Stewart,T023,Neurologist,B,40,Private Practice,Low,15,1,12,0.625,0.13333333333333333,Adequately Covered,10080.0
H0018,Dr. Mcdaniel,T047,Neurologist,B,40,Private Practice,Medium,36,2,19,1.5,0.05555555555555555,Adequately Covered,10080.0
H0207,Dr. Patel,T002,General Practitioner,B,40,Group Practice,Medium,0,0,0,0.0,0.0,Undercovered,10080.0
H0329,Dr. Allen,T011,Pulmonologist,B,40,Community,Medium,31,2,20,1.2916666666666667,0.12903225806451613,Adequately Covered,10080.0
H0490,Dr. Miller,T023,Oncologist,B,40,Community,High,26,1,17,1.0833333333333333,0.15384615384615385,Adequately Covered,10080.0
H0107,Dr. Gonzales,T002,Cardiologist,B,40,Private Practice,Medium,0,0,0,0.0,0.0,Undercovered,10080.0
H0193,Dr. Odonnell,T004,Oncologist,B,40,Private Practice,Medium,0,0,0,0.0,0.0,Undercovered,10080.0
H0346,Dr. Wilson,T026,Internist,B,39,Group Practice,Low,52,2,23,2.1666666666666665,0.17307692307692307,Adequately Covered,9828.0
H0432,Dr. Perry,T007,Pulmonologist,B,39,Community,Medium,0,0,0,0.0,0.0,Undercovered,9828.0
H0221,Dr. Santos,T013,General Practitioner,B,39,Community,High,88,4,23,3.6666666666666665,0.09090909090909091,Adequately Covered,9828.0
H0065,Dr. Carr,T007,Endocrinologist,B,39,Private Practice,Medium,0,0,0,0.0,0.0,Undercovered,9828.0
H0200,Dr. Terry,T015,Neurologist,B,39,Community,Medium,26,1,17,1.0833333333333333,0.23076923076923078,Adequately Covered,9828.0
H0110,Dr. Rogers,T031,Pulmonologist,B,39,Academic,Medium,17,1,11,0.7083333333333334,0.29411764705882354,Adequately Covered,9828.0
H0237,Dr. Snyder,T040,Internist,B,38,Group Practice,Low,0,0,0,0.0,0.0,Undercovered,9576.0
H0130,Dr. Evans,T046,Internist,B,38,Private Practice,Medium,14,1,13,0.5833333333333334,0.14285714285714285,Adequately Covered,9576.0
H0313,Dr. Carlson,T039,Cardiologist,B,38,Private Practice,Low,24,2,15,1.0,0.16666666666666666,Adequately Covered,9576.0
H0002,Dr. Green,T041,Endocrinologist,B,38,Private Practice,High,88,3,24,3.6666666666666665,0.11363636363636363,Adequately Covered,9576.0
H0111,Dr. Orozco,T002,Immunologist,B,38,Community,Medium,0,0,0,0.0,0.0,Undercovered,9576.0
H0251,Dr. Allen,T047,Oncologist,B,37,Private Practice,Medium,35,2,17,1.4583333333333333,0.11428571428571428,Adequately Covered,9324.0
H0164,Dr. Conley,T042,Endocrinologist,B,37,Private Practice,Low,0,0,0,0.0,0.0,Undercovered,9324.0
H0436,Dr. Thomas,T016,Immunologist,B,37,Community,High,72,3,22,3.0,0.2222222222222222,Adequately Covered,9324.0
H0023,Dr. Rush,T008,Neurologist,B,37,Private Practice,Medium,97,4,24,4.041666666666667,0.2268041237113402,Adequately Covered,9324.0
H0123,Dr. Carrillo,T035,Pulmonologist,B,37,Community,Low,28,1,18,1.1666666666666667,0.21428571428571427,Adequately Covered,9324.0
H0278,Dr. Wolf,T029,Endocrinologist,B,37,Academic,Medium,28,1,20,1.1666666666666667,0.14285714285714285,Adequately Covered,9324.0
H0345,Dr. Gonzalez,T011,Immunologist,B,37,Community,Low,37,2,20,1.5416666666666667,0.08108108108108109,Adequately Covered,9324.0
H0440,Dr. Taylor,T022,Oncologist,B,36,Group Practice,High,0,0,0,0.0,0.0,Undercovered,9072.0
H0230,Dr. Michael,T007,Cardiologist,B,36,Private Practice,High,0,0,0,0.0,0.0,Undercovered,9072.0
H0073,Dr. Hernandez,T001,Oncologist,B,36,Private Practice,Low,38,2,19,1.5833333333333333,0.10526315789473684,Adequately Covered,9072.0
H0094,Dr. Mcclain,T022,Internist,B,36,Community,Medium,0,0,0,0.0,0.0,Undercovered,9072.0
H0293,Dr. Garcia,T045,Endocrinologist,B,35,Community,Medium,74,3,23,3.0833333333333335,0.16216216216216217,Adequately Covered,8820.0
H0396,Dr. Miller,T037,Endocrinologist,B,35,Community,High,62,2,22,2.5833333333333335,0.2903225806451613,Adequately Covered,8820.0
H0138,Dr. Freeman,T046,Neurologist,B,35,Private Practice,Medium,19,1,14,0.7916666666666666,0.15789473684210525,Adequately Covered,8820.0
H0294,Dr. Smith,T050,Pulmonologist,B,35,Private Practice,Low,44,2,21,1.8333333333333333,0.09090909090909091,Adequately Covered,8820.0
H0009,Dr. Graham,T012,Endocrinologist,B,35,Group Practice,Low,41,2,20,1.7083333333333333,0.24390243902439024,Adequately Covered,8820.0
H0394,Dr. Hodges,T007,Neurologist,B,35,Private Practice,High,0,0,0,0.0,0.0,Undercovered,8820.0
H0492,Dr. Craig,T028,Endocrinologist,B,35,Academic,High,128,8,24,5.333333333333333,0.234375,Adequately Covered,8820.0
H0493,Dr. Ferguson,T014,Pulmonologist,B,35,Community,Low,9,1,7,0.375,0.2222222222222222,Undercovered,8820.0
H0290,Dr. Raymond,T020,Neurologist,B,35,Group Practice,Low,70,3,24,2.9166666666666665,0.17142857142857143,Adequately Covered,8820.0
H0368,Dr. Perez,T004,Cardiologist,B,35,Community,Low,0,0,0,0.0,0.0,Undercovered,8820.0
H0425,Dr. Wilson,T017,Endocrinologist,B,34,Community,Low,18,1,14,0.75,0.1111111111111111,Adequately Covered,8568.0
H0118,Dr. Rivera,T009,General Practitioner,B,34,Community,High,11,1,8,0.4583333333333333,0.09090909090909091,Undercovered,8568.0
H0122,Dr. Price,T012,Pulmonologist,B,34,Private Practice,Low,48,2,20,2.0,0.10416666666666667,Adequately Covered,8568.0
H0262,Dr. Cooper,T042,Internist,B,34,Community,Medium,0,0,0,0.0,0.0,Undercovered,8568.0
H0364,Dr. Preston,T024,Cardiologist,B,34,Private Practice,Medium,29,1,17,1.2083333333333333,0.1724137931034483,Adequately Covered,8568.0
H0215,Dr. Cox,T005,Oncologist,B,34,Community,Medium,0,0,0,0.0,0.0,Undercovered,8568.0
H0296,Dr. Mendoza,T021,Neurologist,B,34,Private Practice,Low,26,2,17,1.0833333333333333,0.15384615384615385,Adequately Covered,8568.0
H0399,Dr. Barton,T042,Endocrinologist,B,34,Community,High,0,0,0,0.0,0.0,Undercovered,8568.0
H0321,Dr. Carroll,T050,Immunologist,B,33,Academic,Low,47,2,21,1.9583333333333333,0.10638297872340426,Adequately Covered,8316.0
H0336,Dr. Roberts,T047,Oncologist,B,33,Community,High,26,2,17,1.0833333333333333,0.15384615384615385,Adequately Covered,8316.0
H0463,Dr. Chase,T046,Immunologist,B,33,Group Practice,Medium,19,1,13,0.7916666666666666,0.15789473684210525,Adequately Covered,8316.0
H0028,Dr. Mccullough,T045,Internist,B,33,Private Practice,Medium,65,3,23,2.7083333333333335,0.2,Adequately Covered,8316.0
H0126,Dr. Gilmore,T020,Neurologist,B,33,Community,Medium,71,3,24,2.9583333333333335,0.15492957746478872,Adequately Covered,8316.0
H0218,Dr. Hernandez,T024,Cardiologist,B,33,Group Practice,Medium,17,1,12,0.7083333333333334,0.17647058823529413,Adequately Covered,8316.0
H0434,Dr. Kennedy,T002,Neurologist,B,33,Academic,Low,0,0,0,0.0,0.0,Undercovered,8316.0
H0307,Dr. Shepherd,T050,Endocrinologist,B,33,Private Practice,Medium,41,2,22,1.7083333333333333,0.1951219512195122,Adequately Covered,8316.0
H0455,Dr. Cook,T021,Internist,B,32,Group Practice,High,21,2,14,0.875,0.14285714285714285,Adequately Covered,8064.0
H0020,Dr. Mclaughlin,T020,Internist,B,32,Private Practice,High,67,3,23,2.7916666666666665,0.19402985074626866,Adequately Covered,8064.0
H0053,Dr. Hopkins,T040,Endocrinologist,B,31,Group Practice,Low,0,0,0,0.0,0.0,Undercovered,7812.0
H0085,Dr. Martinez,T011,Immunologist,B,31,Community,High,47,2,21,1.9583333333333333,0.1702127659574468,Adequately Covered,7812.0
H0483,Dr. Pitts,T039,Endocrinologist,B,31,Private Practice,Low,43,2,22,1.7916666666666667,0.2558139534883721,Adequately Covered,7812.0
H0477,Dr. Garcia,T038,Neurologist,B,31,Group Practice,High,38,2,17,1.5833333333333333,0.13157894736842105,Adequately Covered,7812.0
H0384,Dr. Costa,T042,General Practitioner,B,30,Group Practice,High,0,0,0,0.0,0.0,Undercovered,7560.0
H0153,Dr. Patterson,T044,Immunologist,B,30,Academic,Medium,22,1,14,0.9166666666666666,0.13636363636363635,Adequately Covered,7560.0
H0007,Dr. Reed,T039,Endocrinologist,B,30,Group Practice,Low,33,2,19,1.375,0.09090909090909091,Adequately Covered,7560.0
H0143,Dr. Yates,T028,General Practitioner,B,29,Group Practice,Medium,136,8,24,5.666666666666667,0.1323529411764706,Adequately Covered,7308.0
H0224,Dr. Hampton,T034,General Practitioner,B,29,Private Practice,Low,0,0,0,0.0,0.0,Undercovered,7308.0
H0288,Dr. Brown,T017,Oncologist,B,29,Private Practice,Medium,19,1,14,0.7916666666666666,0.2631578947368421,Adequately Covered,7308.0
H0258,Dr. Sanchez,T023,Oncologist,B,29,Private Practice,High,21,1,15,0.875,0.23809523809523808,Adequately Covered,7308.0
H0316,Dr. James,T045,Cardiologist,B,28,Private Practice,Low,73,3,24,3.0416666666666665,0.1232876712328767,Adequately Covered,7056.0
H0471,Dr. Pearson,T049,Internist,B,28,Private Practice,Medium,39,2,22,1.625,0.2564102564102564,Adequately Covered,7056.0
H0392,Dr. Bates,T002,General Practitioner,B,28,Community,Medium,0,0,0,0.0,0.0,Undercovered,7056.0
H0314,Dr. Montgomery,T005,Endocrinologist,B,28,Community,High,0,0,0,0.0,0.0,Undercovered,7056.0
H0145,Dr. Pittman,T030,Cardiologist,B,28,Academic,Medium,0,0,0,0.0,0.0,Undercovered,7056.0
H0341,Dr. Baker,T034,Cardiologist,B,28,Private Practice,Low,0,0,0,0.0,0.0,Undercovered,7056.0
H0420,Dr. Collins,T003,Neurologist,B,28,Private Practice,Low,70,3,24,2.9166666666666665,0.07142857142857142,Adequately Covered,7056.0
