rep_id,rep_name,territory_id,region,experience_years,education,total_revenue,total_units,products_sold,total_calls,total_conversions,conversion_rate_pct,unique_hcps_visited,avg_call_duration_min,tier_a_calls,tier_b_calls,tier_c_calls,tier_a_call_pct,avg_monthly_calls,revenue_per_call,revenue_per_hcp,productivity_index,performance_quartile
R006,Matthew Mejia,T045,West,10,B.Pharm,263383.85,377.0,6,312,68.0,21.8,13,24.618589743589745,85.0,150.0,77.0,27.2,13.0,844.18,20260.3,15.5,4
R011,Danielle Ford,T028,Northeast,15,B.Pharm,236558.91999999995,308.0,6,336,81.0,24.1,14,24.532738095238095,184.0,100.0,52.0,54.8,14.0,704.04,16897.07,12.9,4
R061,Dominique Horton,T036,Northwest,6,M.Sc Pharmacology,224791.50000000003,319.0,6,144,26.0,18.1,6,24.45138888888889,0.0,65.0,79.0,0.0,6.0,1561.05,37465.25,28.6,4
R060,James House,T028,Northeast,7,MBA,222172.26999999996,305.0,6,305,72.0,23.6,14,25.016393442622952,159.0,97.0,49.0,52.1,12.7,728.43,15869.45,13.3,3
R034,Cynthia Allen,T036,Northwest,9,B.Pharm,211197.99999999997,286.0,6,144,31.0,21.5,6,24.1875,0.0,65.0,79.0,0.0,6.0,1466.65,35199.67,26.9,3
R067,Andrea Jones,T037,Northwest,6,B.Pharm,204365.39000000013,300.0,6,72,19.0,26.4,3,24.26388888888889,0.0,28.0,44.0,0.0,3.0,2838.41,68121.8,52.0,3
R005,Heidi Lee,T003,Midwest,2,MBA,203489.14000000004,250.0,6,288,59.0,20.5,12,25.322916666666668,170.0,46.0,72.0,59.0,12.0,706.56,16957.43,12.9,3
R078,Joshua Turner,T029,Northeast,5,B.Sc Life Sciences,200016.96000000008,287.0,6,288,47.0,16.3,12,24.75347222222222,82.0,101.0,105.0,28.5,12.0,694.5,16668.08,12.7,3
R025,Stephen Potter,T045,West,5,MBA,194626.32,273.0,6,269,42.0,15.6,13,25.152416356877325,76.0,120.0,73.0,28.3,11.2,723.52,14971.26,13.3,3
R076,Brandi Bailey,T028,Northeast,10,B.Sc Life Sciences,192583.09999999998,257.0,6,336,89.0,26.5,14,24.214285714285715,193.0,97.0,46.0,57.4,14.0,573.16,13755.94,10.5,3
R035,Angela Dennis,T035,Northwest,14,B.Pharm,190284.22000000003,244.0,6,257,54.0,21.0,11,24.626459143968873,107.0,77.0,73.0,41.6,10.7,740.41,17298.57,13.6,3
R070,Matthew Cunningham,T027,Southwest,10,MBA,183860.27999999997,278.0,6,216,51.0,23.6,9,25.564814814814813,105.0,51.0,60.0,48.6,9.0,851.2,20428.92,15.6,3
R064,Amy Edwards,T050,Southwest,2,M.Sc Pharmacology,177577.4699999999,256.0,6,270,51.0,18.9,12,25.022222222222222,74.0,136.0,60.0,27.4,11.3,657.69,14798.12,12.0,3
R026,Gina Carter,T032,Southeast,6,MBA,173713.61,214.0,6,48,12.0,25.0,2,20.979166666666668,0.0,48.0,0.0,0.0,2.0,3619.03,86856.81,66.3,3
R066,Amy Romero,T028,Northeast,2,MBA,166865.49,217.0,6,271,43.0,15.9,14,23.129151291512915,137.0,87.0,47.0,50.6,11.3,615.74,11918.96,11.3,3
R016,Michelle Lewis,T003,Midwest,1,B.Pharm,164266.6,227.0,6,288,43.0,14.9,12,24.225694444444443,174.0,50.0,64.0,60.4,12.0,570.37,13688.88,10.4,3
R023,Julie King,T006,Southeast,17,B.Sc Life Sciences,157572.46000000008,214.0,6,216,45.0,20.8,9,24.800925925925927,82.0,87.0,47.0,38.0,9.0,729.5,17508.05,13.4,3
R008,Roy Martin,T050,Southwest,5,B.Sc Life Sciences,154134.27999999997,233.0,6,247,42.0,17.0,12,24.44939271255061,69.0,118.0,60.0,27.9,10.3,624.03,12844.52,11.4,3
R032,Tamara George,T011,Southwest,17,B.Sc Life Sciences,146224.53000000003,202.0,6,137,12.0,8.8,12,25.963503649635037,0.0,73.0,64.0,0.0,5.7,1067.33,12185.38,19.5,3
R018,Kimberly Burgess,T028,Northeast,9,M.Sc Pharmacology,138612.82000000004,180.0,6,246,52.0,21.1,14,24.617886178861788,130.0,75.0,41.0,52.8,10.3,563.47,9900.92,10.3,3
R019,Kevin Cox,T049,Northeast,3,MBA,136447.62999999995,170.0,6,178,37.0,20.8,8,23.98876404494382,112.0,53.0,13.0,62.9,7.4,766.56,17055.95,14.0,3
R079,Dr. Kendra Contreras,T013,Northwest,2,B.Sc Life Sciences,133302.61,171.0,6,264,40.0,15.2,11,24.515151515151516,77.0,45.0,142.0,29.2,11.0,504.93,12118.42,9.2,3
R075,Ariel Medina,T013,Northwest,17,B.Pharm,132277.96000000005,178.0,6,264,45.0,17.0,11,23.825757575757574,94.0,48.0,122.0,35.6,11.0,501.05,12025.27,9.2,3
R046,Diana Washington,T003,Midwest,2,MBA,131994.88999999998,167.0,6,280,62.0,22.1,12,23.521428571428572,167.0,43.0,70.0,59.6,11.7,471.41,10999.57,8.6,2
R058,Cynthia Russell,T028,Northeast,2,M.Sc Pharmacology,128727.66999999997,169.0,6,262,46.0,17.6,14,24.198473282442748,115.0,98.0,49.0,43.9,10.9,491.33,9194.83,9.0,2
R052,Nicholas Mcbride,T032,Southeast,17,MBA,126392.88999999998,170.0,6,48,9.0,18.8,2,25.166666666666668,0.0,48.0,0.0,0.0,2.0,2633.19,63196.44,48.2,2
R065,John Calhoun,T028,Northeast,15,B.Sc Life Sciences,124526.48999999999,164.0,6,295,74.0,25.1,14,23.861016949152543,138.0,100.0,57.0,46.8,12.3,422.12,8894.75,7.7,2
R054,Clifford Ford,T008,Midwest,15,MBA,123267.89999999998,162.0,6,312,57.0,18.3,13,23.69551282051282,81.0,113.0,118.0,26.0,13.0,395.09,9482.15,7.2,2
R041,Jacqueline Lam,T049,Northeast,17,B.Pharm,118963.41,162.0,6,176,40.0,22.7,8,24.0625,102.0,62.0,12.0,58.0,7.3,675.93,14870.43,12.4,2
R069,Lauren Williams,T036,Northwest,15,B.Sc Life Sciences,114528.95999999998,156.0,6,144,22.0,15.3,6,23.88888888888889,0.0,63.0,81.0,0.0,6.0,795.34,19088.16,14.6,2
R077,David Mitchell,T048,Southwest,17,B.Pharm,114450.94000000005,140.0,6,219,53.0,24.2,14,24.484018264840184,100.0,55.0,64.0,45.7,9.1,522.61,8175.07,9.6,2
R009,Michael Miles,T028,Northeast,1,B.Pharm,112008.15000000001,145.0,6,218,34.0,15.6,14,24.720183486238533,108.0,67.0,43.0,49.5,9.1,513.8,8000.58,9.4,2
R063,Mr. Daniel Brown,T008,Midwest,6,B.Pharm,109554.94000000003,140.0,6,312,63.0,20.2,13,25.08974358974359,79.0,108.0,125.0,25.3,13.0,351.14,8427.3,6.4,2
R020,Brenda Snyder PhD,T025,Northwest,1,B.Sc Life Sciences,98420.70999999999,129.0,6,120,12.0,10.0,5,24.691666666666666,0.0,0.0,120.0,0.0,5.0,820.17,19684.14,15.0,2
R013,Frederick Tate,T041,Northeast,11,MBA,90441.91,104.0,6,144,19.0,13.2,6,23.194444444444443,0.0,83.0,61.0,0.0,6.0,628.07,15073.65,11.5,2
R073,Joyce Hickman,T033,Southwest,4,B.Pharm,85854.37000000001,118.0,6,168,21.0,12.5,7,23.446428571428573,0.0,73.0,95.0,0.0,7.0,511.04,12264.91,9.4,2
R042,David Brown,T014,West,8,B.Pharm,84330.05000000002,118.0,6,117,28.0,23.9,11,22.70940170940171,62.0,29.0,26.0,53.0,4.9,720.77,7666.37,13.2,2
R030,Katie Gonzalez,T016,Southwest,10,M.Sc Pharmacology,82319.82,99.0,6,216,36.0,16.7,9,23.194444444444443,94.0,46.0,76.0,43.5,9.0,381.11,9146.65,7.0,2
R043,Julian Chapman,T015,Southeast,2,B.Pharm,80478.87,111.0,6,216,35.0,16.2,9,23.675925925925927,82.0,75.0,59.0,38.0,9.0,372.59,8942.1,6.8,2
R040,Michelle Ross,T041,Northeast,1,B.Sc Life Sciences,72215.60000000003,86.0,6,144,19.0,13.2,6,23.756944444444443,0.0,86.0,58.0,0.0,6.0,501.5,12035.93,9.2,2
R017,Dr. Marvin Thomas Jr.,T013,Northwest,2,B.Pharm,72056.65000000002,98.0,6,252,43.0,17.1,11,24.353174603174605,87.0,50.0,115.0,34.5,10.5,285.94,6550.6,5.2,2
R050,Jason Shields,T012,Midwest,12,B.Sc Life Sciences,71636.87000000001,100.0,6,264,48.0,18.2,11,24.242424242424242,132.0,40.0,92.0,50.0,11.0,271.35,6512.44,5.0,2
R080,Tara Garcia,T046,Northeast,6,M.Sc Pharmacology,71467.86000000003,90.0,6,132,32.0,24.2,7,23.886363636363637,39.0,68.0,25.0,29.5,5.5,541.42,10209.69,9.9,2
R062,Rachel Stanley,T026,West,2,B.Sc Life Sciences,71427.76000000001,89.0,6,192,23.0,12.0,8,25.3125,0.0,93.0,99.0,0.0,8.0,372.02,8928.47,6.8,1
R053,Corey Herrera,T016,Southwest,16,MBA,70365.67000000001,91.0,6,216,42.0,19.4,9,23.74537037037037,84.0,51.0,81.0,38.9,9.0,325.77,7818.41,6.0,1
R007,Dr. Sharon James,T013,Northwest,13,B.Pharm,69498.77999999997,93.0,6,205,37.0,18.0,11,27.321951219512194,63.0,36.0,106.0,30.7,8.5,339.02,6318.07,6.2,1
R068,Jennifer David,T041,Northeast,1,B.Sc Life Sciences,68110.95999999999,91.0,6,144,20.0,13.9,6,25.11111111111111,0.0,92.0,52.0,0.0,6.0,472.99,11351.83,8.7,1
R014,Rodney Trujillo,T039,Southwest,17,B.Pharm,67908.86000000002,86.0,6,168,35.0,20.8,7,26.035714285714285,81.0,73.0,14.0,48.2,7.0,404.22,9701.27,7.4,1
R012,Timothy Watts,T008,Midwest,17,MBA,66901.11,94.0,6,187,44.0,23.5,13,23.22994652406417,53.0,67.0,67.0,28.3,7.8,357.76,5146.24,6.6,1
R044,Michael Brown,T031,Midwest,8,B.Sc Life Sciences,65969.79000000001,90.0,6,280,56.0,20.0,14,24.485714285714284,69.0,86.0,125.0,24.6,11.7,235.61,4712.13,4.3,1
R029,Ashley Garrett,T021,West,5,B.Sc Life Sciences,61941.04000000001,75.0,6,198,28.0,14.1,17,24.575757575757574,60.0,33.0,105.0,30.3,8.3,312.83,3643.59,5.7,1
R036,Vanessa Patel,T019,Southeast,1,B.Sc Life Sciences,61331.50999999999,81.0,6,144,30.0,20.8,6,24.916666666666668,84.0,0.0,60.0,58.3,6.0,425.91,10221.92,7.8,1
R055,Angela Morton,T038,Midwest,15,B.Sc Life Sciences,60961.40000000001,83.0,6,318,69.0,21.7,15,24.842767295597483,158.0,39.0,121.0,49.7,13.3,191.7,4064.09,3.5,1
R003,Calvin Nielsen,T019,Southeast,5,MBA,56757.48999999998,85.0,6,144,18.0,12.5,6,25.055555555555557,82.0,0.0,62.0,56.9,6.0,394.15,9459.58,7.2,1
R059,Dr. Steven Martin,T008,Midwest,11,MBA,50709.639999999985,80.0,6,146,29.0,19.9,13,23.595890410958905,34.0,54.0,58.0,23.3,6.1,347.33,3900.74,6.4,1
R002,Dennis Williams,T026,West,6,B.Pharm,48071.31999999998,74.0,6,142,32.0,22.5,8,24.774647887323944,0.0,74.0,68.0,0.0,5.9,338.53,6008.91,6.2,1
R047,Miranda Khan,T016,Southwest,3,MBA,45369.57999999999,71.0,6,196,41.0,20.9,9,24.510204081632654,77.0,43.0,76.0,39.3,8.2,231.48,5041.06,4.2,1
R056,Annette Pearson,T012,Midwest,5,MBA,45290.19,72.0,6,253,47.0,18.6,11,25.320158102766797,130.0,49.0,74.0,51.4,10.5,179.01,4117.29,3.3,1
R004,Edward Fuller,T039,Southwest,15,MBA,43849.30999999998,80.0,6,142,29.0,20.4,7,23.809859154929576,64.0,70.0,8.0,45.1,5.9,308.8,6264.19,5.7,1
R022,Linda Cruz,T038,Midwest,6,B.Sc Life Sciences,37880.25,71.0,6,283,69.0,24.4,15,24.9434628975265,154.0,33.0,96.0,54.4,11.8,133.85,2525.35,2.5,1
R045,Andre Rivera,T001,Southwest,7,B.Sc Life Sciences,26841.670000000002,78.0,6,144,38.0,26.4,6,24.90972222222222,111.0,21.0,12.0,77.1,6.0,186.4,4473.61,3.4,1
R015,Austin Gentry,T001,Southwest,13,MBA,26092.51,72.0,6,144,31.0,21.5,6,25.770833333333332,116.0,17.0,11.0,80.6,6.0,181.2,4348.75,3.3,1
R031,Christopher Ashley,T021,West,10,B.Pharm,21316.01000000001,69.0,6,118,28.0,23.7,17,24.033898305084747,46.0,29.0,43.0,39.0,4.9,180.64,1253.88,3.3,1
