rep_id,rep_name,territory_id,region,experience_years,hire_date,education,productivity_score
R065,John Calhoun,T028,Northeast,15,2024-02-01,B.Sc Life Sciences,0.55
R066,Amy Romero,T028,Northeast,2,2014-06-02,MBA,0.53
R067,Andrea Jones,T037,Northwest,6,2022-06-03,B.Pharm,0.48
R068,Jennifer David,T041,Northeast,1,2023-04-15,B.Sc Life Sciences,0.66
R069,Lauren Williams,T036,Northwest,15,2012-04-06,B.Sc Life Sciences,0.48
R070,Matthew Cunningham,T027,Southwest,10,2019-09-11,MBA,0.7
R071,Dean Santiago,T017,Northwest,17,2015-04-01,M.Sc Pharmacology,0.64
R072,Derek Anderson,T009,Midwest,5,2013-03-17,B.Sc Life Sciences,0.6
R073,Joyce Hickman,T033,Southwest,4,2009-08-27,B.Pharm,0.47
R074,Alexandra Howell,T020,Southwest,10,2021-08-14,MBA,0.53
R075,Ariel Medina,T013,Northwest,17,2014-06-11,B.Pharm,0.8
R076,Brandi Bailey,T028,Northeast,10,2017-02-17,B.Sc Life Sciences,0.75
R077,David Mitchell,T048,Southwest,17,2020-01-10,B.Pharm,0.45
R078,Joshua Turner,T029,Northeast,5,2022-10-25,B.Sc Life Sciences,0.67
R079,Dr. Kendra Contreras,T013,Northwest,2,2014-02-07,B.Sc Life Sciences,0.8
R080,Tara Garcia,T046,Northeast,6,2008-12-10,M.Sc Pharmacology,0.32
